abortion is a woman's unrestricted right ,http://www.ontheissues.org/VoteMatch/q1_2016.asp
legally require hiring women & minorities ,http://www.ontheissues.org/VoteMatch/q2_2016.asp
comfortable with same-sex marriage ,http://www.ontheissues.org/VoteMatch/q3_2016.asp
keep god in the public sphere ,http://www.ontheissues.org/VoteMatch/q4_2016.asp
expand obamacare ,http://www.ontheissues.org/VoteMatch/q5_2016.asp
privatize social security ,http://www.ontheissues.org/VoteMatch/q6_2016.asp
vouchers for school choice ,http://www.ontheissues.org/VoteMatch/q7_2016.asp
epa regulations are too restrictive ,http://www.ontheissues.org/VoteMatch/q8_2016.asp
stricter punishment reduces crime ,http://www.ontheissues.org/VoteMatch/q9_2016.asp
absolute right to gun ownership ,http://www.ontheissues.org/VoteMatch/q10_2016.asp
higher taxes on the wealthy ,http://www.ontheissues.org/VoteMatch/q11_2016.asp
pathway to citizenship for illegal aliens ,http://www.ontheissues.org/VoteMatch/q12_2016.asp
support & expand free trade ,http://www.ontheissues.org/VoteMatch/q13_2016.asp
support american exceptionalism ,http://www.ontheissues.org/VoteMatch/q14_2016.asp
expand the military ,http://www.ontheissues.org/VoteMatch/q15_2016.asp
make voter registration easier ,http://www.ontheissues.org/VoteMatch/q16_2016.asp
avoid foreign entanglements ,http://www.ontheissues.org/VoteMatch/q17_2016.asp
prioritize green energy ,http://www.ontheissues.org/VoteMatch/q18_2016.asp
marijuana is a gateway drug ,http://www.ontheissues.org/VoteMatch/q19_2016.asp
stimulus better than market-led recovery ,http://www.ontheissues.org/VoteMatch/q20_2016.asp
